feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23
0.0,0.0,0.087807976,0.0,0.0,0.21393223,0.20674807,0.0,0.0,0.0,0.0,0.0,0.21077593,0.0,0.15013199,0.09352306,0.0,0.13116714,0.0,0.0,0.0,0.0,0.0,0.0
8.064685e-21,3.9774893e-20,0.133743,1.3480101e-23,2.8969166e-25,0.20461251,0.19121625,3.6574809e-25,1.5460311e-24,5.118831e-24,1.5216209e-24,1.8178726e-24,0.23541027,5.50463e-22,0.16606067,0.12599391,9.3957236e-20,0.14975142,4.1880147e-25,1.451448e-24,8.495565e-25,3.2732975e-24,8.620894e-25,5.2392016e-24
0.0,0.0,0.04743785,0.0,0.0,0.98574823,0.9922126,0.0,0.0,0.0,0.0,0.0,0.07221574,0.0,0.32765722,0.05944528,0.0,0.47240472,0.0,0.0,0.0,0.0,0.0,0.0
6.1015385e-07,9.341892e-07,0.139221,7.6507746e-08,3.0042752e-08,0.20486963,0.19161882,2.2392449e-08,4.5243997e-08,6.6092824e-08,3.1131027e-08,4.8842853e-08,0.24220088,2.3814422e-07,0.17312694,0.1323697,1.5847633e-06,0.15433061,2.7530787e-08,5.2100756e-08,4.03279e-08,5.8116612e-08,3.032612e-08,6.177955e-08
0.0,0.0,0.07934175,0.0,0.0,0.8279646,0.8685181,0.0,0.0,0.0,0.0,0.0,0.14333947,0.0,0.30095756,0.11222444,0.0,0.32565987,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.025788672,0.0,0.0,0.9916522,0.9929045,0.0,0.0,0.0,0.0,0.0,0.018936258,0.0,0.11468528,0.019391257,0.0,0.37637308,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.004940978,0.0,0.0,0.9993325,0.9993605,0.0,0.0,0.0,0.0,0.0,0.003400007,0.0,0.04696398,0.004243257,0.0,0.38360325,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.08024984,0.0,0.0,0.9144625,0.94398856,0.0,0.0,0.0,0.0,0.0,0.122680016,0.0,0.3135056,0.09600032,0.0,0.37903246,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.010073554,0.0,0.0,0.9999559,0.9999757,0.0,0.0,0.0,0.0,0.0,0.0035921908,0.0,0.09271788,0.0047761695,0.0,0.63078606,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.14347635,0.0,0.0,0.600444,0.65186167,0.0,0.0,0.0,0.0,0.0,0.19394322,0.0,0.26851898,0.1413298,0.0,0.28169674,0.0,0.0,0.0,0.0,0.0,0.0
